text_new,actual_label,predicted_label
Dr Ryan Cole  Vaksin Covid tidak sekadar membuat anak anda mandul tetapi juga merusak organ tubuhnya jantung hati otak kelenjar adrenal limpa sumsum tulangData statistik menunjukkan bhw anak2 sama sekali tidak beresiko terhdp covid SUMBER TwitterArsip httpsarchivemdwipkgUDb,FAKE,FAKE
GAGAL MENDAPATKAN IZIN DI POLRES BOGOR MEREKA MELANJUTKAN RENCANA KE MESJID AKBAR KEMAYORAN WARGA JAKARTA NU BANSER DAN SELURUH RAKYAT YANG MENCINTAI NKRI SEGERA LAKUKAN LANGKAH AKSI MENGHADANG SEL TERORIS BERSELIMUT KHILAFAH INI  ZheeOmega,FAKE,FAKE
httpaadidasssxyzadidass1615398724251,FAKE,FAKE
1 Benar Ada Cara Millenial Road Safety Festival Polres Bogor hari Minggu Tanggal 3 Maret 2019 tapi tidak ada pembuatan SIM tanpa tes hanya ada Pelayanan SIM Keliling khusus Perpanjangan SIM posting akun Instagram tmcpolresbogor Minggu 242 2 Tidak ada pembuatan SIM tanpa tes Rp 150 ribu hanya ada pelayanan SIM keliling khusus memperpanjang SIM kata AKP Fadli dalam keterangannya Selasa 262 Penjelasan Jelang pelaksanaan acara Millenial Road Safety Festival oleh Polres Bogor pada Minggu 33 mendatang tersebar kabar yang mengatakan di acara tersebut akan ada pembuatan SIM tanpa tes dengan biaya Rp 150 000 untuk seJabodetabek Namun kabar ini segera diklarifikasi oleh Polres Bogor melalui akun Instagramnya tmcpolresbogor Berikut klarifikasi lengkapnya Benar Ada Cara Millenial Road Safety Festival Polres Bogor hari Minggu Tanggal 3 Maret 2019 tapi tidak ada pembuatan SIM tanpa tes hanya ada Pelayanan SIM Keliling khusus Perpanjangan SIM posting akun Instagram tmcpolresbogor Minggu 242 Kasat Lantas Polres Bogor AKP M Fadli Amri juga menegaskan bahwa tidak ada pembuatan SIM tanpa tes dalam acara tersebut Tidak ada pembuatan SIM tanpa tes Rp 150 ribu hanya ada pelayanan SIM keliling khusus memperpanjang SIM kata AKP Fadli dalam keterangannya Selasa 262 Di sisi yang sama Kasubbag Humas Polres Bogor AKP Ita Puspita Lena mengatakan pembuatan SIM yang dipatok Rp 150000 tanpa tes seJabodetabek adalah tidak benar Ia merasa dirugikan dengan selebaran yang beredar di sejumlah media sosial tersebut Bohong itu Kami nggak pernah mengadakan pembuatan SIM cumacuma Kalau untuk acaranya memang ada tapi pembuatan SIM itu tidak ada ujar Ita Referensi 1 httpswwwinstagramcompBuOg3nneeU 2 httpbogortribunnewscom beredarkabarbikinsimtanpa 3 httpwwwmetropolitanid polressebutrp150ribudapat  httpswwwfacebookcomgroupsfafhhpermalink845615965770940,FAKE,FAKE
PABRIK EXSTASI DI GRREBEG DI TASIKMALAYA PELAKUNYA SEEEEMUA CINA MASIH BERSEKONGKOL DG CINA ,FAKE,FAKE
Kapolres Balikpapan AKBP Wiwin Firta  Hasil visum et repertum negatif Yang bersangkutan Mekar bukan korban penculikan atau kekerasan seksual seperti yang selama ini beredar di media sosial ,FAKE,FAKE
Larangan Mudik Gerbang Tol Pejagan Brebes Di Tutup TotalShorts,FAKE,FAKE
Semua aktifitas HP dll terpantau 100Mulai besok dan seterusnya ada peraturan komunikasi baruSetelah dilantikn ya Badan Siber  Sandi Nasional BSSN oleh Bpk Jokowi  Presiden NKRISemua panggilan dicatatSemua rekaman panggilan telepon tersimpanWhatsApp dipantauTwitter dipantauFacebook dipantauSemua media sosial  dan forum dimonitorInformasikan kepada mereka yang tidak tahuPerangkat Anda terhubung ke sistem pelayananBerhatihatilah mengirimkan pesan yg tidak perluBeritahu anakanak Anda Kerabat dan teman tentang berita iniJangan teruskan tulisan atau video dll bila Anda menerima postingan mengenai situasi politikmasalah Pemerintahan sekarang  PM dllPolisi telah mengeluarkan pemberitahuan yang disebut  KejahatanCargo dan tindakan akan dilakukan bila perlu hapus saja postingan yang masuk kalau akan merugikan andaMenulis atau meneruskan pesan apapun pada setiap perdebatan politik dan agama sekarang merupakan pelanggaran penangkapan tanpa surat perintah Informasikan berita ini kepada orang lain agar selalu waspadaIni sangat serius perlu diketahui semua kelompok dan anggota individuBila anda sebagai Admin Group bisa dalam masalah besarBeritahu semua orang tentang ini untuk berhatihatiTolong bagikan Ini sangat berguna untuk Admin group mohon berhatihati ,FAKE,FAKE
PKS ingin dikenal di Indonesia dengan program andalannya Poligami sejahtera Penjelasan Akun atasnama Kakek Detektif di Media Sosial Facebook membagikan sebuah poster dengan judul Launching Pusat Poligami PKS Cikarang Utara dan disertai slogan Sejahterakan Poligami Dalam postingan tersebut tersematkan pula foto dari Presiden Partai Keadilan Sejahtera PKS Mohammad Sohibul Iman dan Ketua Dewan Pengurus Daerah DPD PKS Kabupaten Bekasi Mohammad Nuh Berdasarkan penelusuran yang dilakukan ditemukan bahwa poster yang diunggah oleh Kakek Detektif merupakan hasil suntingan Sebab di laman Komunitas Desainer PKS atau PKSART artpksid terdapat desain aslinya Pada poster aslinya kalimat yang tertera ialah Launching Pusat Khidmat PKS Cikarang Utara Sedangkan slogan aslinya bertuliskan Berkhidmat Untuk Rakyat Poster asli itu diunggah oleh akun atas nama didinwahyudin di laman artpksid Tanggal pengunggahannya tertera pada 25 Mei 2016 Adapun Pusat Khidmat PKS merupakan program sosial kepada masyarakat yang dimiliki oleh partai tersebut Program itu sudah dimulai pertama kali pada tahun 2016 Berikut kutipan pemberitaan tentang peluncuran program Pusat Khidmat PKS di Bandar Lampung   Gaet Simpati Rakyat PKS Luncurkan Pusat Khidmat REPUBLIKACOID BANDAR LAMPUNG Bandar Lampung menjadi kota pertama di Indonesia yang berhasil meluncurkan Pusat Khidmat PKS Pernyataan tersebut disampaikan Pamungkas Hendra Kusuma dari Bidang Kesejahteraan Rakyat Kesra DPP PKS dalam keterang pers yang diterima Republkacoid kemarin Pamungkas mengapresiasi PKS Bandar Lampung dalam merespon cepat salah satu program strategis DPP PKS yaitu Pusat Khidmat sebagai pusat pelayanan dan pemberdayaan terhadap masyarakat sekitar DPP PKS sangat mengapresiasi respon cepat PKS Bandar Lampung dalam membuat Pusat Khidmat Saya diutus ke Lampung oleh DPP untuk mensosialisasikan juklak dan juknis pelaksanaan Pusat Khidmat tapi begitu saya sampai disini saya dapat informasi Bandar Lampung ternyata telah siap melakukan peresmian Pusat Khidmat ini luar biasa ujar Pamungkas Sementara itu Ketua DPD PKS Bandar Lampung Aep Saripudin mengatakan Pusat Khidmat PKS adalah wadah bagi kerjakerja pelayanaan pembinaan pemberdayaan dan pembelaan bagi masyarakat Beraneka kegiatan yang bermanfaat bagi masyarakat akan dilaksanakan di Pusat Khidmat ini Pusat Khidmat adalah bentuk keseriusan PKS dalam menjalankan jargon Berkhidmat Untuk Rakyat  Bentuk keseriusan adalah dengan meresmikan berdirinya Pusat Khidmat PKS di Kecamatan Kemiling Semoga masyarakat Kemiling bisa merasakan manfaat dari berbagai program yang akan dijalankan seperti kesehatan pembentukan bank sampah pembinaan taman pendidikan Alquran dan rumah aspirasi kata Aep Ketua DPC PKS Kemiling sekaligus Ketua Pelaksana Pusat Khidmat PKS Imron Rosadi mengatakan program spesifik terkait Pusat Khidmat antara lain rumah sehat rumah cerdas rumah aspirasi rumah keluarga Indonesia dan bank sampah Program rumah sehat salah satunya akan mengadakan pelatihan pijat bayi Rumah cerdas programnya membuka taman bacaan masyarakat Semua program Pusat Khidmat PKS gratis dan ditujukan untuk umum siapa pun boleh memanfaatkannya sesuai dengan jadwal yang telah ditentukan pengelola pungkas Imron  Dari penjelasan tersebut maka sudah postingan poster di akun Kakek Detektif merupakan hasil manipulasi dari poster kegiatan Launching Pusat Khidmat PKS Cikarang Utara Adapun poster aslinya dibuat sejak tahun 25 Mei 2016 Referensi httpswwwfacebookcomgroupsfafhhpermalink855928991406304 httpartpksidgallerymedialaunchingrumahkhidmatkabupatenbekasi httpartpksidgalleryuserdidinwahyudin Sekilas tentang PKSART httpswwwrepublikacoidberitanasionalpolitik160405o54z2z377gaetsimpatirakyatpksluncurkanpusatkhidmat,FAKE,FAKE
httpsdailyexposeuk20220428newstudyconfirmscovidjabcauseshepatitiskids sebuah artikel mengenai vaksin mRNA yg menyebabkan Hepatitis anak COVID19 PenjelasanBeredar sebuah narasi oleh akun Twitter JakataStar yang mengatakan bahwa vaksin menyebabkan hepatitis pada anak dengan menyertakan klaim dari artikel Dailyexposeuk yang berjudul New Study confirming COVID Vaccine causes Severe AutoimmuneHepatitis is published days after WHO issued Global Alert about new Severe Hepatitis among Children  Setelah ditelusuri klaim tersebut salah Melansir Sehatnegerikukemkesgoid Kementerian Kesehatan membantah adanya kaitan antara vaksinasi COVID19 dengan penyakit hepatitis akut yang belum diketahui penyebabnya pada anak Kejadian ini dihubungkan dengan vaksin COVID19 itu tidak benar karena kejadian saat ini tidak ada bukti bahwa itu berhubungan dengan vaksinasi COVID19 ungkap Prof Hanifah Lebih lanjut dilansir dari Factcheckafpcom seorang ahli hepatologi transplantasi pediatrik dari Mayo Clinic Children s Center mengatakan bahwa hepatitis misterius yang menulari anakanak berbeda dengan hepatitis yang dijelaskan dalam penelitian tersebut Studi ini dilakukan pada orang dewasa yang mencoba menghubungkan vaksin Covid19 dan hepatitis autoimun yang merupakan entitas terpisah yang berbeda dari hepatitis yang berdampak pada anakanak ungkapnya Dengan demikian klaim oleh akun Twitter JakartaStar merupakan informasi yang keliru dan termasuk ke dalam kategori Konten yang Menyesatkan Referensihttpsfactcheckafpcomdocafpcom329J2TAhttpssehatnegerikukemkesgoidbacarilismedia202205053339775tidakadakaitanantaravaksinasicovid19denganpenyakithepatitisakutpadaanak,FAKE,FAKE
I never told anybody but she knighted me in private Terjemahan Saya tidak pernah memberi tahu siapa pun tetapi dia memberi saya gelar bangsawan secara pribadi Penjelasan Beredar sebuah informasi di Twitter yang membagikan tangkapan layar dari media sosial buatan Donald Trump Truth Social bahwa presiden Amerika ke45 dalam unggahannya mengaku kalau Ratu Elizabeth II telah memberinya gelar bangsawan Inggris secara pribadi Setelah ditelusuri klaim tersebut salah Faktanya tidak ada sumber yang valid terkait pengangkatannya dan pengakuannya kalau Ratu Elizabeth II telah memberikan Donald Trump gelar bangsawan Dilansir dari Reuterscom tangkapan layar yang beredar tersebut diduga telah dibuatbuat atau hasil manipulasi penelusuran Reuterscom tidak ada bukti Donald Trump memposting pesan seperti itu di Truth Social dari profil linimasa maupun versi arsipnya Mengutip dari Snopescom Liz Harrington salah satu juru bicara Trump mengonfirmasi bahwa unggahan tersebut palsu Dengan demikian klaim Donald Trump mengaku diberikan gelar bangsawan secara pribadi oleh Ratu Elizabeth II merupakan hoaks dengan kategori Konten Palsu Referensi httpswwwreuterscomarticlefactchecktrumpqueenidUSL1N30K1HN httpswwwsnopescomfactchecktrumpqueenknightedmeutmmedium Socialutmsource TwitterEchobox 16635946351 Editor Bentang Febrylian,FAKE,FAKE
 Ini jelas BidensAmerica dibawakan kepada Anda oleh altleftextremist yang terpilih untuk berkuasa  PenjelasanAkun Twitter bernama TakenBinder mengutip ulang sebuah cuitan dar pengguna Twitter lain bernama XAVIAERD Pada cuitan yang dikutip tersebut terdapat video yang memperlihatkan seorang murid menodong gurunya dengan pistol TakenBinder menulis klaim bahwa video tersebut terjadi di Amerika Serikat dan merupakan agenda dari para ekstrimis dan kabinet Joe Biden Setelah dilakukan penelusuran dengan Yandex Video Search video tersebut telah banyak beredar di portal berita salah satunya BBC News pada 2018 silam Melansir dari artikel BBC News video tersebut memperlihatkan seorang remaja di Paris Perancis yang menodong gurunya dengan pistol palsu yang ditujukan sebagai lelucon atau prank Lebih lanjut informasi serupa juga pernah dibahas oleh India Today dengan judul Fact Check Video of high school student threatening teacher with gun is NOT from the US it s from France  Dengan demikian informasi yang disebarluaskan oleh TakenBinder merupakan konteks yang salah Referensihttpswwwbbccouknewsworldeurope45933852amp httpswwwindiatodayinfactcheckstoryfactcheckvideoofhighschoolstudentthreateningteacherwithgunisnotfromtheusfromfrance233612420230217,FAKE,FAKE
Omeperazole 2 1Azytromycin 500 mg 1 1Vit C 2x 500mgProve D 1 1Nace 3 1 Resep Jamu 5 batang serai5 Ruas jahe 5 cm  Lanjutan narasi dicantumkan setelah referensi,FAKE,FAKE
Mereka pulang itu karna rindu kampung kelahirannya klaau kita atur atur nanti banyak masalah yang akan terjadi biarkan mengalir begitu saja Tradisi umat Islam setiap tahun Bukan setiap hari Dan pemudik itu bukan teroris jdi tak perlu untuk ditahandihadang Buatlah peraturan yg sesuai dengan realit,FAKE,FAKE
HEBOH GARAGARA Ini TNI Akan Gempur Malaysia Perang Di Depan Mata 6000 Tki dan wNI di Malaysia Diungsikan ke Lokasi yang Aman,FAKE,FAKE
Akun Facebook Mang mengunggah gambar 28082020 yang memperlihatkan Gubernur Provinsi DKI Jakarta Anies Baswedan sedang naik sepeda di jalan tol dengan narasi sebagai berikut Lagi uji coba sepeda di jalan TOL dalam kota ,FAKE,FAKE
No war ukrania Rusia russia russiaru rusiaukraina russiamilitary ukraine rusia2022 PenjelasanBeredar sebuah video di Tiktok yang memperlihatkan video peperangan yang diklaim merupakan perang antara Rusia dan Ukraina Video ini telah mendapatkan atensi sebanyak 698 ribu suka dan 699 komentar Namun setelah dilakukan penelusuran ditemukan bahwa sebagian video ini merupakan kumpulan potongan video dari beberapa video yang tidak ada hubungannya dengan perang Rusia dan Ukraina Misalnya pada video tersebut pada detik 0009 terlihat kemiripan dengan video peperangan Turki dengan Tentara Nasional Libya LNA dan militer Mesir di Kota Sirte yang diberitakan pada tanggal 20 Juli 2020 Lalu pada video Tiktok tersebut pada detik 0025 terlihat kemiripan dengan video latihan di negaranegara yang tergabung dalam Organisasi Perjanjian Keamanan Kolektif CSTO di dekat perbatasan AfghanistanTajikistan pada tanggal 18 Oktober 2021 Kemudian pada video Tiktok tersebut pada detik 0028 terlihat kemiripan dengan video pengujian pertahanan udara Rusia di lapangan tembak Kapustin Yar sekitar 1160 kilometer tenggara Moskow pada tanggal 29 Oktober 2021 Berdasarkan penjelasan di atas klaim video kengerian perang Rusia dan Ukraina adalah keliru dan termasuk dalam kategori konten yang menyesatkan Referensihttpswwwgeloraco202007binasakantentaranasionallibyadanhtmlhttpsgorodovoyrunewsodkbuvelichilado4tysyachchislouchastnikovmanevrovvtadzhikistanehttpswwwdefencenetgramynapyraylikasystimata912160epideixidynamistisrosikisaeramynasmeprotofaniomobrontia,FAKE,FAKE
Sekadar info mulai bln Maret 2019 pembayaran tagihan PLN dimajukan Biasanya paling lambat tgl 20 tiap bulan dimajukan ke tgl 5 Pembayaran sesudah tgl 5 sdh kena denda Mohon bantu share kpd keluarga tetangga teman2 Indahnya berbagi,FAKE,FAKE
Musim dingin di Gaza Tanah dirampas Zionist membuat rakyat Palestina jd pengungsi di negeri sendiri Tinggal di tenda makanan terbatas jaket  selimut seadanya Dinginnya mampu membuat anak2 meninggal  orang2 dewasa sakit Doakan slalu utk mereka Arafiah250597 Palestine Penjelasan Muncul postingan yang mengunggah foto anakanak di tengah salju Dalam narasi tertera bahwa foto tersebut merupakan foto rakyat Palestina Berdasarkan hasil penelusuran diketahui bahwa foto tersebut bukanlah pengungsi Palestina Foto aslinya ada di laman Getty Images dengan judul LEBANONSYRIACONFLICTREFUGEESWEATHER Dalam laman Getty Images terdapat keterangan bahwa foto tersebut diambil pada tanggal 12 Desember 2013 Adapun pada keterangan foto diketahui foto aslinya ialah tentang kondisi pengungsi Suriah di Arsal Bekaa Valley Lebanon Berikut kutipan keterangan dalam foto tersebut Keterangan Foto 1   Syrian children stand in the snow in a refugee camp in the town of Arsal in the Lebanese Bekaa valley on December 13 2013 Thousands of Syrian refugees living in makeshift camps in Lebanon were weathered a winter storm that brought snow rain and freezing temperatures to the country   Terjemahan   Anakanak Suriah berdiri di salju di sebuah kamp pengungsi di kota Arsal di lembah Bekaa Lebanon pada 13 Desember 2013 Ribuan pengungsi Suriah yang tinggal di kampkamp sementara di Lebanon dilanda badai musim dingin yang membawa salju hujan dan suhu beku ke negara   Keterangan Foto 2   Seorang anak Suriah berdiri di salju di sebuah kamp pengungsi di kota Arsal di lembah Bekaa Lebanon pada 13 Desember 2013 Ribuan pengungsi Suriah yang tinggal di kampkamp sementara di Lebanon dilanda badai musim dingin yang membawa salju hujan dan suhu dingin di daerah tersebut   Berdasarkan penjelasan tersebut maka adanya ketidakcocokan antara klaim narasi di dalam konten dengan foto yang digunakan Oleh sebab itu konten postingan sumber masuk ke dalam kategori False Connection atau koneksi yang salah Referensi httpswwwfacebookcomgroupsfafhhpermalink1082984628700738 httpswwwgettyimagescomdetailnewsphotosyrianchildstandsinthesnowinarefugeecampinthenewsphoto456038321adppopup true httpswwwgettyimagescomdetailnewsphotosyrianchildrenstandinthesnowinarefugeecampinthenewsphoto456038343adppopup true,FAKE,FAKE
Astaqfirullah Adakah Benar Kata2 Mereka Mmg Benar Kita Berada dDunia fitnah Skrg Nama saya Dr Johan Denis dari Belgium Vaksin korona tidak terbukti selamat dan efektif Tidak ada keadaan darurat Ini adalah pandemik palsu Coronavirus dalam hal kematian dan penularan sama dengan penyakit selsema Dan saya akan menolak perkara ini Tidak professional yang diambil negara kita Tidak ada keadaan darurat Ini semua diatur dan direka sahaja Agar anda takut untuk ambil vaksin,FAKE,FAKE
1 Pesen dari Habib Ja far bin Muhammad bin Hamid taruh 2 biji obat amoxicillin ke dalam tandon air di rumah jangan dilogika karena ini yang disampaikan kepada Pak Luhut Binsar Panjaitan dan sudah dilaksanakan di rumah keprisedenana dan dinasdinas lain 2 Wabah COVID19 Berikut Ijazah Habib Ja far Bin Muhammad AlKaff Monggo kami menyampaikan pesan beliau Al Habib Ja far Bin Muhammad AlKaff agar tandon air kita diberi Amoxilin dua butir dengan diawali tawassul Fatihah kepada beliau Semoga kita semuanya umumnya bangsa Indonesia diselamatkan dari Wabah COVID19 tetap iman Islam dan akhir hayat husnul khotimah Amiin Sumber  Sya roni emwece Contoh redaksi tawassul seperti di bawah ini ,FAKE,FAKE
Terdapat 2 poin klarifikasi 1 Terjadi Disinformasi 2 Pesan terkait Aksi Bela Yesus adalah hoax,FAKE,FAKE
Mohon maaf kawanku kali ini aku posting berita anak kecil yang diculik dan dijadikan pengemis dan sekarang berada di Polsek Sidoarjo mohon berita ini di share ke group media sosial anda agar segera ditemukan keluarganya trimakasih,FAKE,FAKE
SAID AQIL Jangan Bilang SiapaSiapa ya Fieling SayaPak Jokowi Itu IMAM MAHDI Yang Muncul di Akhir Zaman Nanti,FAKE,FAKE
PT JASA RAHARJA PERSERO Account Oficall Resmi PT Jasa Raharja Info lowongan klikbitly3jPYobh ,FAKE,FAKE
KEMENTERIAN PENDAYAGUNAAN APARATUR NEGARA DAN REFORMAI BIROKRASI REPUBLIK INDONESIA KEPUTUSAN MENTERI PENDAYAGUNAAN APARATUR NEGARA DAN REFORMMASI BIROKRASSI NOMOR 821131029 TAHUN 2020 TENTANG PENETAPAN PESERTA SELEKSI KOMPETENSI BIDANG SK PADA FORMASI CALON PEGAWAI NEGERI SIPIL TAHUN 2019,FAKE,FAKE
